Asset_Category,Asset_Name,Asset_Symbol
Cryptocurrency,Bitcoin,BTC
Cryptocurrency,XRP,XRP
Cryptocurrency,Dogecoin,DOGE
Cryptocurrency,Litecoin,LTC
Cryptocurrency,Algorand,ALGO
Cryptocurrency,Bitcoin Cash,BCH
Cryptocurrency,Stellar,XLM
Cryptocurrency,Monero,XMR
Cryptocurrency,BitTorrent,BTT
Cryptocurrency,Bitcoin SV,BSV
Cryptocurrency,eCash,XEC
Cryptocurrency,Zcash,ZEC
Cryptocurrency,Dash,DASH
Cryptocurrency,SafeMoon,SFM
Cryptocurrency,Decred,DCR
Cryptocurrency,Ravencoin,RVN
Cryptocurrency,OEC Token,OKT
Cryptocurrency,Bitcoin Gold,BTG
Cryptocurrency,Horizen,ZEN
Cryptocurrency,Sapphire,SAPP
Cryptocurrency,Decentralized Social,DESO
Cryptocurrency,Telos,TLOS
Cryptocurrency,Dent,DENT
Cryptocurrency,Nano,XNO
Cryptocurrency,Metis Token,METIS
Cryptocurrency,Redacted Cartel,BTRFLY
Cryptocurrency,Everscale,EVER
Cryptocurrency,Power Cash,PRCH
Cryptocurrency,Pundi X,PUNDIX
Cryptocurrency,Bitcoin Diamond,BCD
Cryptocurrency,VeThor Token,VTHO
Cryptocurrency,Steem,STEEM
Cryptocurrency,Electroneum,ETN
Cryptocurrency,OpenDAO,SOS
Cryptocurrency,Uquid Coin,UQC
Cryptocurrency,Klima DAO,KLIMA
Cryptocurrency,Efinity Token,EFI
Cryptocurrency,Beldex,BDX
Cryptocurrency,AirCoin,AIR
Cryptocurrency,CounosX,CCXX
Cryptocurrency,ECC,ECC
Cryptocurrency,Ino Coin,INO
Cryptocurrency,BitTorrent [OLD],BTTOLD
Cryptocurrency,TempleDAO,TEMPLE
Cryptocurrency,WHALE,WHALE
Cryptocurrency,Hector DAO,HEC
Cryptocurrency,Position Token,POSI
Cryptocurrency,Invictus,IN
Cryptocurrency,Rome,ROME
Cryptocurrency,Metronome,MET
Cryptocurrency,Alchemist,MIST
Cryptocurrency,Snowbank,SB
Cryptocurrency,Lunar,LNR
Cryptocurrency,GenesysGo Shadow,SHDW
Cryptocurrency,Spartacus,SPA
Cryptocurrency,Sipher,SIPHER
Cryptocurrency,Tectonic,TONIC
Cryptocurrency,Cypherium,CPH
Cryptocurrency,LORDS,LORDS
Cryptocurrency,Spool DAO Token,SPOOL
Cryptocurrency,WeGro,WEGRO
Cryptocurrency,MobieCoin,MBX
Cryptocurrency,GamerCoin,GHX
Cryptocurrency,MUSK Gold,MUSK
Cryptocurrency,Clearpool,CPOOL
Cryptocurrency,Grin,GRIN
Cryptocurrency,LOOP Finance,LOOP
Cryptocurrency,Kujira,KUJI
Cryptocurrency,GPEX,GPX
Cryptocurrency,Prism,PRISM
Cryptocurrency,Banana,BANANA
Cryptocurrency,Maximizer,MAXI
Cryptocurrency,Cerby Token,CERBY
Cryptocurrency,Gyro,GYRO
Cryptocurrency,FREEdom coin,FREE
